sent0,sent1,labels
"I liking swimming, so I went to the swimming pool yesterday","I like swimming, so I went to the zoo yesterday",0
"She keeps a good figure, so she runs every day","She runs every day, so she keeps a good figure",1
"I dreamed of plenty of coins, but woke up with an empty pocket","I dreamed of plenty of coins, and woke up with a pocket full of coins",0
"The sunlight is so strong, so I close the curtain","The sunlight is so strong, so I open the curtain",0
"I can not see the book clearly because of darkness, so I turn off the lamp","I can not see the book clearly because of darkness, so I turn on the lamp",1
Nuclear weapons are usually used in the war,Nuclear weapons are seldom used in the war,1
We can use wood and light to produce fire,We can use wood and water to produce fire,0
"The wind is strong today, so it is a good day to fly a kite","There is no wind today, so it is a good day to fly a kite",0
"I am so thirsty, so I drink a glass of water","I am so thirsty, so I eat some meat",0
I like to sing loudly when watching movies in the cinema,I like to eat popcorn when watching movies in the cinema,1
I bring my house to school,I bring my bag to school,1
I ate two thousand bowls of rice yesterday,I ate two bowls of rice yesterday,1
People should drink water every day,People should drink oil every day,0
We should not look at the phone while crossing the street,We should look at the phone while crossing the street,0
"He puts too much salt when cooking, so the dish is salty","He puts too much salt when cooking, so the dish is sweet",0
He often plays football on the football field,He often plays football on the basketball court,0
She used the towel to wipe her face after washing,She used the pad to wipe her face after washing,0
He squeezed toothpaste onto his toothbrush,He squeezed facewash onto his toothbrush,0
He sleeps on the mattress,He sleeps on the towel,0
She uses the dishwashers liquid to clean her face,She uses the dishwashers liquid to clean plates,1
Coffee is so bitter that she adds some sugar,Coffee is so bitter that she adds some vinegar,0
Eating hot pot in winter can make us feel cold,Eating hot pot in winter can keep us warm,1
People must eat cakes on their birthday,People usually eat cakes on their birthdays,1
"He can not stand spicy food, so he picks all the chilies out of the dish","He can not stand spicy food, so he eats all the chilies in the dish",0
We hold the Olympics every four years,We hold the Olympics every year,0
"If you want to learn the news, you can read the news in the newspaper","If you want to learn the news, you must read the news in the newspaper",0
He eats his chips with ketchup,He eats his chips with toothpaste,0
He buys some chips in McDonald's,He buys some fresh seafood in McDonald's,0
"The table is so dirty, so he wipes it","The table is so clean, so he wipes it",0
I sleep 8 hours everyday,I never sleep in my life,0
My parents cook some trashes for me,My parents cook some chicken for me,1
"The music is so loud, so I turn down the volume","The music is so loud, so I turn up the volume",0
I can buy everything in Euro in the US,I can buy food in Euro in Germany,1
I like to add some soil sauce in my noodle,I like to add some face washer in my noodle,0
I play video games on Youtube,I watch videos on Youtube,1
Apple is one of the biggest phone companies in the world,Apple is one of the biggest food companies in the world,0
Cloud is floating in the sky,Cloud is floating in the water,0
There are some plants on the Mars,There are some plants on the Earth,1
"I am really full now, so I do not want to eat more food","I am really full now, so I want to eat more food",0
I like to swim in the cool water,I like to swim in the boiling water,0
He shot at an enemy from one hundred miles away,He shot at an enemy from one hundred meters away,1
"I am so hungry, so I eat some food","I am so hungry, so I read some books",0
The moon appears at night,The moon appears in afternoon,0
All the American people will celebrate the Spring Festival,Many Chinese people will celebrate the Spring Festival,1
I see some stones flying in the sky,I see some birds flying in the sky,1
My mother gave birth to me when she was 3 years old,My mother gave birth to me when she was 30 years old,1
I can touch the cloud,I can touch the stone,1
She takes the subway to Mars every day,She takes the subway to her office every day,1
"My phone is broken, so I buy a new one","My phone is broken, so I buy a new bike",0
He takes off his clothes before showering,He puts on his clothes before showering,0
He uses range hood to dry his hair,He uses the hair dryer to dry his hair,1
He wipes face cream to avoid the strong sunlight,He wipes sun cream to avoid the strong sunlight,1
He makes coffee in the coffee machine,He makes coffee in the bread machine,0
He took out a tub of ice cream from the oven,He took out a tub of ice cream from the fridge,1
He took the clothes out of the dryer and put them in the washer,He took the clothes out of the washer and put them in the dryer,1
My girlfriend married me when she was 25 years old,My girlfriend married me when she was 2 years old,0
"I am so poor, so I can buy a big house easily","I am so poor, so I can not buy a big house",1
My little sister took care of me when I was born,I took care of my little sister when she was born,1
I gave birth to my mother,My mother gave birth to me,1
My father praised me for getting good grades,My father praised me for indulging in games,0
"I got a bad grade, so I am so happy","I got a good grade, so I am so happy",1
I will be younger in ten years,I will be older in ten years,1
He washed his face with sulfuric acid,He washed his face with water,1
He put on his earphones for fear of disturbing others,He took off his earphones for fear of disturbing others,0
He was proud of having won the scholarship.,He was ashamed of having won the scholarship,0
He made a mistake and was nervous when the teacher called him to talk,He made a mistake and was proud when the teacher called him to talk,0
The air in the room is bad so I close the window for ventilation,The air in the room is bad so I open the window for ventilation,1
"The more you eat, the more full you are","The more you eat, the more hungry you are",0
He was in such a hurry that he jumped off the tall building,He was in such a hurry that he ran downstairs,1
The rabbit climbed up the tree,The squirrel climbed up the tree,1
The fish can live without air,The fish can not live without air,1
"Although he is eight years old, he drives a lot","Although he is eight years old, he can cook",1
"I want to eat Sushi, so I go to a Japanese restaurant","I want to eat Sushi, so I go to an Italian restaurant",0
The homeless man sleeps on the fire hydrant,The homeless man sleeps on the bench,1
The poor sleep in their villas,The poor sleep in the garden,1
"He was going to run, so he put on his running shoes","He was going to run, so he put on his leather shoes",0
I didn't water the flower for a month so it flourished,I didn't water the flower for a month so it withered,1
She ate too many peppers and got cavities,She ate too many candies and got cavities,1
The couple want to renovate their house so they find a decoration company,The couple want to renovate their house so they find an insurance company,0
"The room is so hot, so he opens the heater","The room is so hot, so he opens the fan",1
Some restaurants offer a TV for customers to watch,All the restaurants offer a TV for customers to watch,0
Only South Koreans like kimchi,South Koreans like kimchi,1
Chinese eat dumplings during the Spring Festival,Chinese eat dumplings only during the Spring Festival,0
You can use chopsticks to eat noodles,You can only use chopsticks to eat noodles,0
"His lens cover is broken, so he can not use it to take a photo","His lens is broken, so he can not use it to take a photo",1
My grandfather read the words with a magnifying glass,My grandfather read the words with a microscope,0
"Nancy ate some expired food, so she had a stomachache",Nancy ate some expired food because she had a stomachache,0
She wore an armor when she was cooking to keep her clothes clean,She wore an apron when she was cooking to keep her clothes clean,1
"Her father is a cleaner, so he needs to travel abroad a lot","Her father is a diplomat, so he needs to travel abroad a lot",1
Their family is very rich so they take low-income insurance,Their family is very poor so they take low-income insurance,1
"He has a stomachache, so he drinks warm water","He has a stomachache, so he drinks iced water",0
The soldiers were praised for their disloyalty to their country,The soldiers were praised for their loyalty to their country,1
I looked at the menu before I ordered,I looked at the menu after I ordered,0
Some restaurants have daily specials,All the restaurants have daily specials,0
He hung his carpet on the wall,He hung his clothes on the wall,1
The professor is liked by his students because he is friendly,The professor is liked by his students because he is harsh,0
There are many ships in the harbor,There are many planes in the harbor,0
He is moving so he puts his stuff in the box,He is moving so he takes things out of the box,0
The harbor is in the desert,The harbor is near to the sea,1
We usually board the plane before going through the security check,We usually go through the security check before boarding the plane,1
I am on the plane,I an on the wings of the plane,0
A submarine navigates underwater,Submarines are flying in the sky,0
"My father has a bad tooth, so he goes to the vet","My father has a bad tooth, so he goes to the dentist",1
Everyone is dancing in the bar,Everyone is reading in the bar,0
The athlete was praised because he was found to have taken stimulant,The athlete was disqualified because he was found to have taken stimulant,1
Google is a car engine,Google is a search engine,1
She put lipstick on her eyebrows,She put lipstick on her lips,1
She puts her contact lenses in her eyes,She puts her contact lenses on her lips,0
Leaves fall in spring,Leaves fall in autumn,0
The winter is the coldest season in the whole year,The winter is the hottest season in the whole year,0
My mother is younger than me,My mother is older than me,1
He plays rock-paper-scissors with his friends,He plays rock-paper-scissors alone,0
people wear sunglasses on rainy days,People use umbrellas on rainy days,1
"He's a vegetarian, so he never eats meat","He's a vegetarian, so he always eats meat",0
People sleep under the bed,People sleep on the bed,1
He washed his hair because it was too long,He cut his hair because it was too long,1
People put on their pajamas before going to bed,People put on their raincoats before going to bed,0
The media encourages people to defecate in public,The media criticizes people for defecating in public,1
He puts on a helmet to listen to music,He puts on a pair of headphones to listen to music,1
"He is allergic to peanuts, so he always eats peanuts","He is allergic to peanuts, so he never eats peanuts",1
He folded up his shoes,He folded up his shirts,1
He hired a babysitter to look after the baby,He hired a lawyer to look after the baby,0
She brushed her hair with a brush,She combed her hair with a comb,1
"He is afraid of water, so he never goes to the seaside","He is afraid of water, so he always dives at the seaside",0
People must peel apples when they eat them,People peel bananas when they eat them,1
I buy dog food for my dog to eat,My dog buy dog food for me to eat,0
My cat jumped from the third floor unscathed,My cat jumped from the thirtieth floor unscathed,0
She applies a facial mask on her face every night,She applies flour on her face every night,0
She makes bread with baking powder,She makes bread with detergent,0
He does yoga on the treadmill,He runs on the treadmill,1
I ate an apple,An apple ate me,0
Little Tommy was scared to tears by the horrible movie,Little Tommy was scared to laughter by the horrible movie,0
He was embarrassed because he forgot his words in his speech,He was so proud because he forgot his words in his speech,0
He typed with piano keys,He typed with a keyboard,1
He hasn't bathed in a week so he's dirty,He hasn't bathed in a week so he's clean,0
You can peel tomatoes before eating them,You must peel tomatoes before eating them,0
People's hair turns red when they are old,People's hair turns white when they are old,1
They are so poor so they live in a youth hostel,They are so poor so they live in a five-star hotel,0
He watches movies on the blackboard,He watches movies on his computer,1
It hurts her that she was rejected,It cheers her up that she was rejected,0
She was asked to show her breasts when she tried to buy a wine,She was asked to show her ID when she tried to buy a wine,1
Everything in the movie is true,Not everything in the movie is true,1
People sometimes lie,People never lie,0
He went to Germany to see the Alps,He went to China to see the Alps,0
He sheltered from the rain in a mall,He took shelter from the rain under a fire hydrant,0
People looked solemn at his mother's funeral,People danced and sang at his mother's funeral,0
Sow the bone in spring and wait for them to sprout.,Sow the seed in spring and wait for them to sprout.,1
He saw the living dinosaur in the museum.,He saw the skeleton of a dinosaur in the museum.,1
An iron bar can ignite a big forest fire.,A lit cigarette can ignite a big forest fire.,1
The noisy youths were ejected from the cinema.,The quiet youths were ejected from the cinema.,0
A cheeky expression was on her face at the funeral.,A solemn expression was on her face at the funeral.,1
I smell a fragrance of flowers.,I hear a fragrance of flowers.,0
Water is all we need to nourish a small baby.,Milk is all we need to nourish a small baby.,1
I saw a snake crawling past.,I saw a snake flying past.,0
The warmth of fire saved them from freezing to death.,The warmth of fire saved them from being hot to death.,0
The glasses frame are effective shields against the sunlight.,The sunglasses are effective shields against the sunlight.,1
Cold medicine can help patients relieve pain.,Painful relievers can help patients relieve pain.,1
They worked hard to fall themselves into poverty.,They worked hard to rid themselves of poverty.,1
I went to donate blood yesterday.,I went to donate fingers yesterday.,0
I often go to the library to borrow money.,I often go to the library to borrow books.,1
We learn to sing in music class.,We learn to sing in PE class.,0
Sand and water can be mixed to make noodles.,Flour and water can be mixed to make noodles.,1
We went to the library to review our lessons.,We went to the mall to review our lessons.,0
He goes running on the playground every day.,He goes running in his room every day.,0
I use a comb to start the car,I use the key to start the car.,1
You can use water shoes to keep your feet dry on rainy days.,You can use cloth shoes to keep your feet dry on rainy days.,0
Police had to erect barriers to keep crowds back.,Police had to erect statues to keep crowds back.,0
The mantis can catch insects by cobweb.,The spider can catch insects by cobweb.,1
The patient is feeble and is able to run around.,The patient is feeble and is not able to walk.,1
The yard is enclosed with a wooden fence to protect the garden.,The yard is enclosed with trash to protect the garden.,0
There are fertile fields in the Yangtze River Delta.,There are fertile fields in the desert.,0
The static blades lift the helicopter.,The rotary blades lift the helicopter.,1
A cold sometimes causes a fever.,A cold will definitely cause a fever.,0
We must violate the statute of this country.,We must obey the statute of this country.,1
Smoking is not allowed in public places.,Walking is not allowed in public places.,0
He was lazy at work and got everyone's approval.,He worked hard and won everyone's approval.,1
Road markings indicate where you can stop.,Billboards indicate where you can stop.,0
The weather will influence the crops.,The weather forecast will influence the crops.,0
They are going to shut down factories that are uneconomic.,They are going to continue to operate factories that are uneconomic.,0
The official was accused of corruption.,The official was accused of integrity.,0
You need stamps when you post a letter.,You need staples when you post a letter.,0
The blooming violets in the garden are very beautiful.,The blooming violets in the factory are very beautiful.,0
You can buy a facial cleanser from a pharmacy.,You can buy medicine from a pharmacy.,1
This car was so slow that it vanished from my sight within seconds.,This car was so fast that it vanished from my sight within seconds.,1
My muscles are sore from too much rest yesterday.,My muscles are sore from too much exercise yesterday.,1
Food is often used as an incentive in training pet dogs.,Stone is often used as an incentive in training pet dogs.,0
The altitude of this mountain is 3000 meters.,The attitude of this mountain is 3000 meters.,0
Glasses can correct myopia.,Glasses frame can correct myopia.,0
"When you close your eyes, you can't see anything.","When you close your mouth, you can't see anything.",0
You should study hard when the final exam is coming soon.,You should play games when the final exam is coming soon.,0
You need to peel bananas before eating them.,You need to peel bananas after eating them.,0
This book looks very delicate.,This book tastes very delicate.,0
People eat through their eyes.,People eat through their mouths.,1
Linen can be used to make rings.,Linen can be used to make clothes.,1
I sweated a lot and my body was fresh and clean.,I sweated a lot and my body was sticky.,1
We opened the window to ventilate.,We closed the window to ventilate.,0
I drive on the sidewalk.,I drive in the motorway.,1
I often draw with colored pens.,I often draw with chopsticks.,0
The movie is very boring so I like it very much.,The movie is very wonderful so I like it very much.,1
He is a happy man because he has a wife who loves him.,He is a pitiful man because he has a wife who loves him.,0
I brew sand with milk to eat.,I brew oatmeal with milk to eat.,1
The operation of the computer needs water.,The operation of the computer needs electricity.,1
He surfs the sea.,He surfs the desert.,0
"When we are full, we will stop eating.","When we are full, we will continue to eat.",0
People can pick apples off from trees.,People can pick strawberries off from trees.,0
This table looks good.,This table tastes good.,0
I am so hungry now so I need to take a shower.,I am so hungry now so I need to have lunch.,1
Jack caught a whale in the forest.,Jack caught a rabbit in the forest.,1
Basically there are many fresh vegetables in the furniture market.,Basically there are many comfortable beds in the furniture market.,1
Shanghai is the name of a city.,Shanghai is the humidity of a city.,0
I put my shoes in a shoebox.,I put my shoes in a make-up box.,0
"If you want to buy clothes, you must choose to use Amazon.","If you want to buy clothes, you can choose to use Amazon.",1
Most people use ears to listen.,Most people use eyes to listen.,0
Amy often watches music opera in the gym.,Amy often watches music opera at the theater.,1
The dress is so ugly that I like it very much.,The dress is so nice that I like it very much.,1
KTV is a good place to play basketball.,KTV is a good place to have fun.,1
She is a lucky girl because she has a broken family.,She is a lucky girl because she has a warm family.,1
Honey comes from bees.,Honey comes from cows.,0
The elder brother is the father's son,The elder brother is the father's daughter,0
Mother was waiting for me at home,Mother was waiting for me on the sun,0
Grandma is 85 years old,Grandma is 200 years old this year,0
She wears a nice pair of earrings in her ears,She wore a nice pair of earrings around her neck,0
"She helped Mike, so Mike was grateful to her","She helped Mike, so Mike annoyed her",0
There are thousands of students in the classroom,There are thirty-two students in the classroom,1
He broke a long branch with his bare hands,He broke a long iron bar with his bare hands,0
The temperature of healthy people remains around 57 degree,The temperature of healthy people remains around 37 degree,1
He dug a hole in the ground with a shovel,He dug a hole in the ground with a straw,0
"The actress acted badly, so he liked to watch her films","The actress is good at acting, so he likes to watch her movies",1
"He suffered from depression, so he was unhappy","He suffers from depression, so he is happy",0
He went to the fruit shop and withdrew a thousand dollars,He went to the bank and withdrew a thousand dollars,1
He saw a huge rhino in the zoo,He saw a huge unicorn in the zoo,0
He saw a car fly past him,He saw a turtle crawling quickly past him,0
She wants to apply for a princess position,She wants to apply for a teacher position,1
There are flowers all over the park in winter,Flowers are in full bloom in the park in spring,1
A plane landed over his head,A leaf fell from his head,1
He bought a tank yesterday,He bought a car yesterday,1
He rode a horse on the prairie,He rode turtles on the prairie,0
"He is busy with his work, so he has no time to spend with his son","He has a busy job, so he has a lot of time to spend with his son",0
"He found a satisfactory job, so he was very sad","He found a satisfactory job, so he was very happy",1
He was tripped over an ant,He was tripped over a branch,1
Drivers cannot drive after drinking,Drivers can drive after drinking,0
"He didn't get his driver's license, so he could drive","He didn't get his driver's license, so he couldn't drive",1
He had such a full dinner that he burped,He didn't have dinner so that he burped,0
He drank a cup of honey water,He drank a cup of bee,0
"It suddenly cooled down, so he caught a cold","It suddenly warmed up, so he caught a cold",0
He went to college at the age of two,He went to college at the age of two,0
He didn't eat for a month,He hasn't eaten all day,1
He added a little sand to the noodles,He added a little salt to the noodles,1
He baked a pizza in the fridge,He baked a pizza in the oven,1
He lay on the grass in the sun,He lay in a dark room in the sun,0
He filled his clothes with water,He filled the bottle with water,1
He charged his mobile phone with potatoes,He charged his mobile phone with a charger,1
The ice cream melted in the sun,The ice cream melted in the refrigerator,0
"There was a traffic jam, so she got home soon","There was a traffic jam, so she got home late",1
The air quality in the city is better than in the forest,The air quality in the forest is very good,1
The cotton on the ground punctured the tire,The screw on the floor punctured the tire,1
He doused the flowers with petrol every day,He has to water the flowers every day,1
He went to the supermarket to pray,He went to church to pray,1
He carved a bird out of soy sauce,He carved a vivid bird in plaster,1
She smeared flour on her face,She applied foundation to her face,1
She put on makeup in front of the wall,She put on makeup in front of the mirror,1
He put his hat on his head,He put his hat on his feet,0
"Sister likes sweet food, so she likes sugar","Sister likes sweet food, so she likes lemon",0
A loofah grows on the pumpkin vine,A pumpkin grows on the pumpkin vine,1
He planted corn in the soil,He planted corn in water,0
He took the clothes to the repair shop for dry cleaning,He took the clothes to the laundry for dry cleaning,1
He saw snow falling outside the window,He saw coins floating out the window,0
"He put the basketball inside the basket, so he scored a point","He missed the basketball, so he scored a point",0
"He stepped into a puddle by accident, so his shoes were dirty","He stepped into a puddle by accident, so his shoes were not dirty",0
"He is nearsighted, so he needs glasses to see clearly","He is nearsighted, so he can see clearly without glasses",0
He poured a bottle of ink into the water and it turned black,"He poured a bottle of ink into the water, which was still transparent",0
He slept with a pillow,He sleeps with a big tree in his arms,0
There is a football floating on the water,There was a shot floating on the water,0
You can wash your hair before you wash your body,You must wash your hair before you wash your body,0
He put the trash can in the garbage bag,He put the garbage bag in the trash can,1
"She thinks the milk is too iced, so she puts ice in it.","She thinks the milk is too iced, so she heats the milk",1
"Cherry prices skyrocketed, so he bought a lot","Cherries are on sale, so he bought a lot",1
All the Americans don't like to eat tofu,Some Americans don't like to eat tofu,1
"The lights in the living room are broken, so they are sitting in the dark","The lights in the living room are broken, so they are sitting in the light",0
The ceiling is too low so he hit his head,The ceiling is too high so he hit his head,0
"The stool is too high, so he can't reach the table","The stool is too low, so he can't reach the table",1
He is too tall to reach the top of the cabinet,He is too short to reach the top of the cabinet,1
"The bulb has been used for a long time, so it has become darker","The bulb has been used for a long time, so it has become brighter",0
"The phone is dead, so it is turned on","The phone is dead, so it is turned off",1
She uses her eyelash brush to paint her eyebrows,She uses her eyelash brush to brush her eyelashes,1
He put the earrings in his eyes,He put the earrings on his ears,1
He sent his 70-year-old mother to a kindergarten,He sent his 70-year-old mother to a nursing house,1
The smoke alarm rang because there was smoke,The smoke alarm rang because there was light,0
She looked down and saw her feet,She looked up and saw her feet,0
We can see stars sometimes when we look up at night,We can always see stars when we look up at night,0
She put some bees over her pancake,She put some honey over her pancake,1
He takes the school bus to the school every day,He takes the school bus to the hospital every day,0
He turned on the air conditioning to suck off the fumes,He turned on the range hood to suck off the fumes,1
Coffee helps people relieve fatigue because it contains caffeine.,Coffee helps people relieve fatigue because it contains sugar.,0
People can communicate with their friends through the internet.,Coffee helps people relieve fatigue because it contains sugar.,0
Eating too much candies is not good for our teeth.,Coffee helps people relieve fatigue because it contains sugar.,0
Eating too much makes people slim.,Eating too much makes people fat.,1
I took some landscape photos at home.,I took some landscape photos in Forest Park.,1
People should smoke more.,People should smoke fewer.,1
Chinese people can travel to America by train.,Chinese people can travel to America by plane.,1
We should not laugh loudly in public places.,We can laugh loudly in public places.,0
We don't have to mute our mobile phones in the library.,We should mute our mobile phones in the library.,1
Eating is allowed in the subway.,Eating is not allowed in the subway.,1
We should not spit anywhere in public.,We must spit anywhere if we want.,0
Playing too much computer games doesn't cause damages to our eyes.,Playing too much computer games causes damages to our eyes.,1
Reading enables us to broaden our horizon.,Reading cannot help us broaden our horizon.,0
Old people are encouraged to play extreme sports.,Old people are not encouraged to play extreme sports.,1
Piano is a kind of musical instruments.,Piano is a kind of sport.,0
He smiles when he gets mad.,He shouts and screams when he gets mad.,1
News programs provide us with the latest news and events.,Advertisement provides us with the latest news and events.,0
Recreation centers provide people with a wide range of great exhibits.,Museums provide people with a wide range of great exhibits.,1
Online courses allow us to have a more flexible schedule.,It is flexible to take courses in traditional classrooms.,0
Electronic books are portable and eco-friendly.,Textbooks are portable and eco-friendly.,0
Car fumes create air pollution.,Car fumes don't create air pollution.,0
Human activities do not pollute the air and water.,Human activities can pollute air and water.,1
"Nowadays, most people live longer than they did in the past.","Nowadays, most people live shorter than they did in the past.",0
Fast food is healthier than home-cooked food.,Home-cooked food is healthier than fast food.,1
Working overtime is common and not that serious.,Working overtime is not a rational and healthy lifestyle.,1
Students must spend time on their mobile phones as much as they want.,Students should not spend too much time on mobile phones.,1
This peaked cap looks cool and fashionable.,This peaked cap smells cool and fashionable.,0
Put on your overcoat because it is only 5 degrees Celsius outdoors!,Take off your overcoat because it is only 5 degrees Celsius outdoors!,0
"In cold weather, snakes hibernate and sleep until it turns warm.","In cold weather, humans hibernate and sleep until it turns warm.",0
Whales cannot live on land.,Whales can live on land.,0
Fish cannot live without water.,Fish can live without water.,0
"If you worked harder, you would have passed the exam.","If you played too much, you could pass the exam.",0
Money can solve every single problem that people encounter.,Money cannot solve every single problem that people encounter.,1
Theory alone makes perfect.,Practice makes perfect.,1
Both genders of students can have equal chances to receive education.,Boys should have priority to receive education.,0
I choose to attend a local university so that I can go home frequently.,I choose to attend a local university so that I can live away from home.,0
Mike is such a hypocritical person that he's well-liked among friends.,Mike is such a genuine person that he's well-liked among friends.,1
Parents should encourage their children to exercise regularly.,Parents should allow their children to watch more TV.,0
Jeff is not thrifty that he only spends money on the things he really needs.,Jeff is so thrifty that he only spends money on the things he really needs.,1
Tom is praised for his repeated absence from school.,Tom is criticized for his repeated absence from school.,1
It is recommended that parents satisfy every need of their children.,Tom is praised for his repeated absence from school.,0
"During the race, Mr. Taylor chats with the driver using a loudspeaker.","During the race, Mr. Taylor talks to the driver using a headset.",1
Boiled water keeps me refreshed and eliminates my fatigue.,Drinking tea keeps me refreshed and eliminates my fatigue.,1
Jumping and bouncing are not allowed when taking the elevator.,Jumping and bouncing are allowed when taking the elevator.,0
The poorer may have to pay a little more in taxes.,The wealthier may have to pay a little more in taxes.,1
A coward is a man who is admired for doing something extremely brave.,A hero is a man who is admired for doing something extremely brave.,1
Romance movie is exciting and a little violent.,Action movie is exciting and a little violent,1
Young teachers are much more experienced than old teachers.,Old teachers are much more experienced than young teachers.,1
Young teachers are much more experienced than old teachers.,I usually do strength training in the park every weekend.,1
"If you heat water to 100 degrees, it freezes.","If you heat water to 100 degrees, it boils.",1
"If we cannot locate the book we want in the library, we can ask the cook for help.","If we cannot locate the book we want in the library, we can ask the librarian for help.",1
A swarm of bees flew into the garden.,A swarm of bees walked into the garden.,0
"The art gallery was broken into last night, and the policemen got away with two valuable paintings.","The art gallery was broken into last night, and the thieves got away with two valuable paintings.",1
He put some salt in the soup to give it a better flavor.,He put some silt in the soup to give it a better flavour.,0
"Last Sunday, my family took a boat under the river.","Last Sunday, my family took a boat across the river.",1
My mother always encourages me to cross the road when the traffic signals turn red.,"Last Sunday, my family took a boat under the river.",0
Helen was sent to prison for attacking a man with a knife.,Helen was sent to the hospital for attacking a man with a knife.,0
Freshwater is salty and thus cannot be drunk.,Seawater is salty and thus cannot be drunk.,1
Play outside when typhoon attacks.,Stay indoors when typhoon attacks.,1
Please turn off the light when you leave.,Please turn on the light when you leave.,0
Oxygen is essential for people and animals to live.,Oxygen is not essential for people and animals to live.,0
People are encouraged to throw rubbish into the sea when they go to the seaside.,People are not encouraged to throw rubbish into the sea when they go to the seaside.,1
Dolphin is a land mammal which is very intelligent and often friendly towards humans.,Dolphin is a sea mammal which is very intelligent and often friendly towards humans.,1
Dolphin is a land mammal which is very intelligent and often friendly towards humans.,An actor of a film decides how it will appear on stage or screen.,1
The media should not hype or misrepresent the facts.,The media can hype or misrepresent the facts.,0
I am not able to be on duty this morning as I have to pick up my mother at the airport.,I am able to be on duty this morning when I have to pick up my mother at the airport.,0
"Because of his excellent work, he was dismissed from the boss.","Because of his bad work, he was dismissed from the boss.",1
My parents always punished me when I did well at school.,My parents always praised me when I did well at school.,1
"A flower may blossom again, but a person cannot get young again.","A flower may blossom again, and a person can also get young again.",0
I am laughing because I am so happy.,I am laughing because I am so sad.,0
I talked to her a few days before she died.,I talked to her a few days after she died.,0
You should not jump the queue when waiting for a taxi or bus.,You can jump the queue when waiting for a taxi or bus.,0
I cannot enter my house as I lost my key.,I can enter my house as I lost my key.,0
I went to Paris by plane from China.,I went to Paris on foot from China.,0
LeBron James is an American professional football player,LeBron James is an American professional basketball,1
It is known to all that caster sugar has a spicy and hot taste.,LeBron James is an American professional football player,0
"In summer, one of my favorite food is hot water.","In summer, one of my favorite food is ice cream.",1
My mother keeps a tiger and takes care of it as it were her kid.,My mother keeps a cat and takes care of it as it were her kid.,1
Many plants and trees grow in the desert.,Very few plants and trees grow in the desert.,1
Sleep is my bread and butter.,Writing is my bread and butter.,1
The firm has over 500 employees.,The firm has over 500 employers.,0
A penguin is a type of large black and white sea bird which mostly live in the Antarctic.,A penguin is a type of large black and white sea bird which mostly live in the Arctic.,0
Polar bear is a bear with white fur that lives in the tropics.,Polar bear is a bear with white fur that lives in the Arctic.,1
"In some geological parks, we can appreciate dinosaurs and learn about their histories.",Polar bear is a bear with white fur that lives in the tropics.,0
He works in a financial company that is in the deep of the forest.,He works in a financial company that is at the top of the big downtown skyscraper.,1
It seems to rain as dark clouds are gathering in the sky.,It seems to be sunny as dark clouds are gathering in the sky.,0
You'd better drive fast when it rains heavily.,You'd better drive slowly when it rains heavily.,1
China is a great country that lies in Asia.,The USA is a great country that lies in Asia.,0
A sound sleep helps to improve our working efficiency in the next day.,Staying up late helps to improve our working efficiency in the next day.,0
He is as a fish out of water among friends.,He is as a fish out of water among strangers.,1
Old people are particularly vulnerable to the flu.,Young adults are particularly vulnerable to the flu.,0
Children must be accompanied by an adult when traveling outside.,Children don't need to be accompanied by an adult when traveling outside.,0
The early bird catches the worm.,The early bird catches the cat.,0
It's no use crying over spilled milk.,It's of great use crying over spilled milk.,0
Rock music is strongly rhythmic and exciting.,Light music is strongly rhythmic and exciting.,0
I can see the breeze across my face.,I can feel the breeze across my face.,1
"When people are thirsty, they will eat biscuits.","When people are thirsty, they will drink water.",1
I go to the library to sing.,I go to the library to read books.,1
Dogs walk on all fours.,Human beings walk on all fours.,0
Farmers often sow in spring.,Farmers often sow in winter.,0
"He felt very hot, so he put on his coat.","He felt very hot, so he took off his coat.",1
Salt smells salty.,Salt tastes salty.,1
"He reached the rank, so he got the certificate.","He didn't reach the rank, so he got the certificate.",0
His beloved wife died unfortunately and he was happy.,His beloved wife died unfortunately and he was in pain.,1
He cooks in the bathroom.,He cooks in the kitchen.,1
The core of the peach is too hard to eat.,The core of the banana is too hard to eat.,0
The lake froze because the temperature was too high.,The lake froze because the temperature was too low.,1
"When you feel hot, you should raise the temperature of the air conditioner.","When you feel hot, you should lower the temperature of the air conditioner.",1
"When you eat junk food, you may get fat.","When you get fat, you are eating junk food.",0
"When you feel very spicy, you need to eat a chili pepper.","When you feel very spicy, you need to drink water.",1
You can wash your hair with detergent.,You can wash your hair with shampoo.,1
"In order to save water, I turned off the tap.","In order to save water, I turned on the tap.",0
I missed the flight because of traffic jam.,There was a traffic jam because I missed the flight.,0
He likes swimming in the lake nearby.,He likes swimming on the grass nearby.,0
Identity cards are required for calling cards now.,A driver's license is required for calling cards now.,0
"There is a red light ahead, you can drive through.","There is a green light ahead, you can drive through.",1
Bathing can wash away the dirt from me.,Bathing can wash my skin off.,0
There is a butterfly dancing on the flowers.,There is a dog dancing on a flower.,0
"When it rained, I didn't bring my umbrella and my clothes were wet.","When it rained, I didn't bring my umbrella and my clothes were dry.",0
"He went to work on time, so he won the attendance award.","He was often late, so he won the attendance award.",0
"He is a cook, so he drives every day.","He is a cook, so he cooks every day.",1
We often use chopsticks to eat noodles.,We often use a spatula to eat noodles.,0
We will wear formal clothes when we attend banquets.,We will not wear clothes when we attend banquets.,0
